"LibraryID","PreviousVersion","NewestVersion","AddedDeps","RemovedDeps","AddedDepsCount","RemovedDepsCount","Change","NetChange"
"abbot:abbot","0.12.3","0.13.0","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security","0.5","0.51","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security","0.51","0.6.1","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security","0.6.1","0.7.0","[""cas:casclient"",""log4j:log4j"",""commons-codec:commons-codec"",""jstl:jstl"",""springframework:spring-context"",""commons-logging:commons-logging"",""taglibs:standard"",""springframework:spring-webmvc"",""commons-attributes:commons-attributes-api"",""aspectj:aspectjrt"",""springframework:spring-aop"",""commons-attributes:commons-attributes-compiler"",""oro:oro"",""springframework:spring-mock"",""springframework:spring-core"",""springframework:spring-web"",""junit:junit"",""springframework:spring-orm"",""springframework:spring-dao"",""hsqldb:hsqldb"",""servletapi:servletapi"",""commons-collections:commons-collections"",""aopalliance:aopalliance"",""ehcache:ehcache""]","[]","24","0","Changed","24"
"acegisecurity:acegi-security","0.7.0","0.7.1","[]","[""cas:casclient"",""log4j:log4j"",""commons-codec:commons-codec"",""jstl:jstl"",""springframework:spring-context"",""commons-logging:commons-logging"",""taglibs:standard"",""springframework:spring-webmvc"",""commons-attributes:commons-attributes-api"",""aspectj:aspectjrt"",""springframework:spring-aop"",""commons-attributes:commons-attributes-compiler"",""oro:oro"",""springframework:spring-mock"",""springframework:spring-core"",""springframework:spring-web"",""junit:junit"",""springframework:spring-orm"",""springframework:spring-dao"",""hsqldb:hsqldb"",""servletapi:servletapi"",""commons-collections:commons-collections"",""aopalliance:aopalliance"",""ehcache:ehcache""]","0","24","Changed","-24"
"acegisecurity:acegi-security","0.7.1","0.8.0","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security","0.8.0","0.8.1","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security","0.8.1","0.8.2","[""commons-attributes:commons-attributes-api"",""log4j:log4j"",""aspectj:aspectjrt"",""oro:oro"",""commons-logging:commons-logging"",""junit:junit"",""springframework:spring-mock"",""jspapi:jsp-api"",""cas:casclient"",""directory:apacheds-main"",""commons-codec:commons-codec"",""hsqldb:hsqldb"",""taglibs:standard"",""servletapi:servletapi"",""commons-attributes:commons-attributes-compiler"",""springframework:spring"",""commons-collections:commons-collections"",""jstl:jstl"",""ehcache:ehcache"",""aopalliance:aopalliance""]","[]","20","0","Changed","20"
"acegisecurity:acegi-security","0.8.2","0.8.3","[]","[""commons-attributes:commons-attributes-api"",""log4j:log4j"",""aspectj:aspectjrt"",""oro:oro"",""commons-logging:commons-logging"",""junit:junit"",""springframework:spring-mock"",""jspapi:jsp-api"",""cas:casclient"",""directory:apacheds-main"",""commons-codec:commons-codec"",""hsqldb:hsqldb"",""taglibs:standard"",""servletapi:servletapi"",""commons-attributes:commons-attributes-compiler"",""springframework:spring"",""commons-collections:commons-collections"",""jstl:jstl"",""ehcache:ehcache"",""aopalliance:aopalliance""]","0","20","Changed","-20"
"acegisecurity:acegi-security","0.8.3","0.9.0","[""cas:casclient"",""log4j:log4j"",""directory:apacheds-main"",""aspectj:aspectjrt"",""commons-logging:commons-logging"",""oro:oro"",""ehcache:ehcache"",""commons-attributes:commons-attributes-compiler"",""springframework:spring"",""taglibs:standard"",""javax.servlet:jsp-api"",""junit:junit"",""jcifs:jcifs"",""javax.servlet:servlet-api"",""javax.servlet:jstl"",""springframework:spring-mock"",""commons-attributes:commons-attributes-api"",""commons-codec:commons-codec"",""hsqldb:hsqldb"",""commons-collections:commons-collections"",""aopalliance:aopalliance""]","[]","21","0","Changed","21"
"acegisecurity:acegi-security","0.9.0","0.8.1.1","[]","[""cas:casclient"",""log4j:log4j"",""directory:apacheds-main"",""aspectj:aspectjrt"",""commons-logging:commons-logging"",""oro:oro"",""ehcache:ehcache"",""commons-attributes:commons-attributes-compiler"",""springframework:spring"",""taglibs:standard"",""javax.servlet:jsp-api"",""junit:junit"",""jcifs:jcifs"",""javax.servlet:servlet-api"",""javax.servlet:jstl"",""springframework:spring-mock"",""commons-attributes:commons-attributes-api"",""commons-codec:commons-codec"",""hsqldb:hsqldb"",""commons-collections:commons-collections"",""aopalliance:aopalliance""]","0","21","Changed","-21"
"acegisecurity:acegi-security","0.8.1.1","1.0.0-RC1","[""aspectj:aspectjrt"",""commons-codec:commons-codec"",""ehcache:ehcache"",""hsqldb:hsqldb"",""org.springframework:spring-context"",""commons-logging:commons-logging"",""cas:casclient"",""junit:junit"",""org.springframework:spring-support"",""javax.servlet:jsp-api"",""org.springframework:spring-jdbc"",""org.springframework:spring-mock"",""org.springframework:spring-web"",""org.springframework:spring-remoting""]","[]","14","0","Changed","14"
"acegisecurity:acegi-security-cas","0.7.0","0.7.1","[]","[""commons-logging:commons-logging"",""springframework:spring-mock"",""hsqldb:hsqldb"",""commons-collections:commons-collections"",""springframework:spring-aop"",""aspectj:aspectjrt"",""cas:casclient"",""springframework:spring-web"",""junit:junit"",""oro:oro"",""cas:cas"",""taglibs:standard"",""commons-codec:commons-codec"",""commons-attributes:commons-attributes-compiler"",""commons-attributes:commons-attributes-api"",""springframework:spring-webmvc"",""springframework:spring-dao"",""springframework:spring-context"",""springframework:spring-orm"",""springframework:spring-core"",""jstl:jstl"",""log4j:log4j"",""servletapi:servletapi"",""aopalliance:aopalliance"",""ehcache:ehcache"",""acegisecurity:acegi-security""]","0","26","Changed","-26"
"acegisecurity:acegi-security-cas","0.7.1","0.8.0","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security-cas","0.8.0","0.8.1","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security-cas","0.8.1","0.8.2","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security-cas","0.8.2","0.8.3","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security-cas","0.8.3","0.9.0","[""springframework:spring-mock"",""commons-attributes:commons-attributes-api"",""springframework:spring"",""commons-codec:commons-codec"",""directory:apacheds-main"",""jcifs:jcifs"",""javax.servlet:jstl"",""log4j:log4j"",""commons-attributes:commons-attributes-compiler"",""oro:oro"",""javax.servlet:jsp-api"",""aspectj:aspectjrt"",""cas:casclient"",""aopalliance:aopalliance"",""javax.servlet:servlet-api"",""taglibs:standard"",""junit:junit"",""cas:cas"",""hsqldb:hsqldb"",""commons-logging:commons-logging"",""commons-collections:commons-collections"",""ehcache:ehcache"",""acegisecurity:acegi-security""]","[]","23","0","Changed","23"
"acegisecurity:acegi-security-cas","0.9.0","0.8.1.1","[]","[""springframework:spring-mock"",""commons-attributes:commons-attributes-api"",""springframework:spring"",""commons-codec:commons-codec"",""directory:apacheds-main"",""jcifs:jcifs"",""javax.servlet:jstl"",""log4j:log4j"",""commons-attributes:commons-attributes-compiler"",""oro:oro"",""javax.servlet:jsp-api"",""aspectj:aspectjrt"",""cas:casclient"",""aopalliance:aopalliance"",""javax.servlet:servlet-api"",""taglibs:standard"",""junit:junit"",""cas:cas"",""hsqldb:hsqldb"",""commons-logging:commons-logging"",""commons-collections:commons-collections"",""ehcache:ehcache"",""acegisecurity:acegi-security""]","0","23","Changed","-23"
"acegisecurity:acegi-security-cas","0.8.1.1","1.0.0-RC1","[""cas:cas"",""org.springframework:spring-mock"",""junit:junit"",""org.acegisecurity:acegi-security""]","[]","4","0","Changed","4"
"acegisecurity:acegi-security-catalina","0.7.0","0.7.1","[]","[""springframework:spring-web"",""aopalliance:aopalliance"",""log4j:log4j"",""tomcat:catalina"",""junit:junit"",""cas:casclient"",""springframework:spring-core"",""springframework:spring-webmvc"",""jstl:jstl"",""taglibs:standard"",""ehcache:ehcache"",""aspectj:aspectjrt"",""commons-attributes:commons-attributes-compiler"",""commons-attributes:commons-attributes-api"",""hsqldb:hsqldb"",""springframework:spring-aop"",""springframework:spring-mock"",""commons-logging:commons-logging"",""springframework:spring-context"",""springframework:spring-dao"",""springframework:spring-orm"",""servletapi:servletapi"",""oro:oro"",""commons-collections:commons-collections"",""commons-codec:commons-codec"",""acegisecurity:acegi-security""]","0","26","Changed","-26"
"acegisecurity:acegi-security-catalina","0.7.1","0.8.0","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security-catalina","0.8.0","0.8.1","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security-catalina","0.8.1","0.8.2","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security-catalina","0.8.2","0.8.3","[]","[]","0","0","No Change","0"
"acegisecurity:acegi-security-catalina","0.8.3","0.9.0","[""oro:oro"",""hsqldb:hsqldb"",""commons-logging:commons-logging"",""aspectj:aspectjrt"",""commons-codec:commons-codec"",""log4j:log4j"",""commons-attributes:commons-attributes-api"",""ehcache:ehcache"",""jcifs:jcifs"",""directory:apacheds-main"",""springframework:spring-mock"",""javax.servlet:jsp-api"",""cas:casclient"",""taglibs:standard"",""javax.servlet:jstl"",""commons-collections:commons-collections"",""commons-attributes:commons-attributes-compiler"",""springframework:spring"",""junit:junit"",""aopalliance:aopalliance"",""javax.servlet:servlet-api"",""acegisecurity:acegi-security"",""tomcat:catalina""]","[]","23","0","Changed","23"
